Nama Wilayah,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),
Pangkajene Dan Kepulauan,389613,416815
Barru,368150,400702
Bone,380513,408244
Soppeng,365650,398802
Wajo,375022,402351
Sidenreng Rappang,383134,421321
Pinrang,366808,400091
Enrekang,371669,408198
Luwu,381015,414118
Tana Toraja,366753,399202
Luwu Utara,382251,414548
Luwu Timur,394158,438178
Toraja Utara,364343,395731
Kota Makassar,511081,570286
Kota Parepare,402126,445032
Kota Palopo,403144,442276
SULAWESI TENGGARA,404137,443980
Buton,279627,302183
Muna,387114,419071
Konawe,363645,400581
Kolaka,448100,464000
Konawe Selatan,294510,331620
Bombana,368576,406706
Wakatobi,319981,340151
Kolaka Utara,511972,517092
Buton Utara,373792,403834
Konawe Utara,340061,381620
Kolaka Timur,458563,513085
Konawe Kepulauan,370692,393000
Muna Barat,382129,412697
Buton Tengah,275058,299593
Buton Selatan,264666,290203
Kota Kendari,454846,503369
Kota Baubau,376932,412008
GORONTALO,411906,442194
Boalemo,472906,525007
Gorontalo,531294,568430
Pohuwato,345924,370530
Bone Bolango,475874,505252
Gorontalo Utara,346557,371302
Kota Gorontalo,643531,697650
SULAWESI BARAT,405187,433131
Majene,433111,461255
Polewali Mandar,452836,482658
Mamasa,312206,329768
Mamuju,319586,340795
Mamuju Utara,404318,432269
Mamuju Tengah,290030,309227
MALUKU,631326,684020
Maluku Tenggara Barat,546300,615768
Maluku Tenggara,595041,669140
Maluku Tengah,542782,589125
Buru,530858,584277
Kepulauan Aru,562416,626086
Seram Bagian Barat,449297,486747
Seram Bagian Timur,421902,458176
Maluku Barat Daya,586021,658036
Buru Selatan,677044,743721
Kota Ambon,661016,716560
Kota Tual,640542,722498
MALUKU UTARA,514383,564733
Halmahera Barat,379108,414870
Halmahera Tengah,507555,552350
Kepulauan Sula,414512,453476
Halmahera Selatan,362100,400768
Halmahera Utara,301041,378968
Halmahera Timur,624983,631233
Pulau Morotai,301712,379931
Pulau Taliabu,448735,491203
Kota Ternate,661459,668074
Kota Tidore Kepulauan,484983,540752
PAPUA BARAT,665604,728619
Fakfak,628418,671021
Kaimana,511011,609865
Teluk Wondama,614573,659187
Teluk Bintuni,716834,787048
Manokwari,690028,752635
Sorong Selatan,422694,506944
Sorong,466380,559363
Raja Ampat,464797,557107
Tambrauw,485342,528817
Maybrat,479977,515069
Manokwari Selatan,702674,719773
Pegunungan Arfak,706497,723662
Kota Sorong,827339,889486
PAPUA,629175,686469
Merauke,408710,434596
Jayawijaya,524173,566319
Jayapura,651581,706549
Nabire,705953,771751
Kepulauan Yapen,716343,757676
Biak Numfor,627921,657182
Paniai,591595,654960
Puncak Jaya,744762,823079
Mimika,1002327,1056252
Boven Digoel,550445,585228
Mappi,402212,427352
Asmat,424978,450237
Yahukimo,496222,549772
Pegunungan Bintang,692059,766275
Tolikara,472692,525770
Sarmi,584626,633124
Keerom,744805,807097
Waropen,769979,810167
Supiori,526482,554954
Mamberamo Raya,803286,834564
Nduga *,420185,475682
Lanny Jaya,564670,625677
Mamberamo Tengah,475436,526584
Yalimo,395868,434256
Puncak,754778,836828
Dogiyai,592213,653007
Intan Jaya,769993,853098
Deiyai,647902,709749
Kota Jayapura,1099019,1147265
