,Nama Wilayah,2016,2017,2018,2019,2020,2021,2022,2023
189,Pangandaran,327399,342672.0,360960.0,367748,382264.0,394101.0,411174,447242.0
190,Kota Bogor,416779,450078.0,480749.0,513343,547399.0,571425.0,608949,661384.0
191,Kota Sukabumi,441948,470133.0,497995.0,520742,547415.0,567734.0,594118,644276.0
192,Kota Bandung,400541,420579.0,448902.0,474448,500452.0,515396.0,545675,591124.0
193,Kota Cirebon,373866,392725.0,426738.0,444574,457954.0,467248.0,485613,520579.0
194,Kota Bekasi,521813,544534.0,582723.0,617718,657953.0,692885.0,731392,795965.0
195,Kota Depok,522934,556470.0,615255.0,644860,688194.0,705084.0,744771,804984.0
196,Kota Cimahi,411665,433759.0,462969.0,484804,511375.0,522281.0,549450,590197.0
197,Kota Tasikmalaya,397215,416837.0,447008.0,457899,470150.0,480341.0,498711,537497.0
198,Kota Banjar,289369,305603.0,324958.0,334590,344363.0,357210.0,373510,408710.0
199,JAWA TENGAH,317348,333224.0,350875.0,369385,395407.0,409193.0,438833,477580.0
200,Cilacap,292525,307041.0,320106.0,337572,351735.0,363367.0,384955,419429.0
201,Banyumas,344514,357748.0,366442.0,385140,406250.0,417086.0,441520,479027.0
202,Purbalingga,301862,313343.0,324735.0,355702,375199.0,384183.0,407849,439208.0
203,Banjarnegara,252328,264387.0,278210.0,301792,318334.0,328679.0,351333,380046.0
204,Kebumen,313881,325819.0,342437.0,362847,380557.0,390599.0,416004,451678.0
205,Purworejo,313931,325871.0,335995.0,345458,364289.0,376127.0,393731,427622.0
206,Wonosobo,297422,308553.0,323490.0,340827,362683.0,373474.0,399180,425105.0
207,Magelang,271800,281237.0,296327.0,325921,342430.0,353608.0,377497,411129.0
208,Boyolali,283921,293405.0,304575.0,332996,347520.0,361922.0,383030,420339.0
209,Klaten,364240,376305.0,397447.0,405537,419510.0,436896.0,458872,488102.0
210,Sukoharjo,327217,337037.0,345363.0,377319,393776.0,410273.0,434318,476675.0
211,Wonogiri,275507,284710.0,293357.0,327364,341643.0,356728.0,376763,414901.0
212,Karanganyar,329531,340538.0,348896.0,365151,385563.0,401542.0,424677,465703.0
213,Sragen,283649,292544.0,312106.0,335334,348890.0,363349.0,389265,426482.0
214,Grobogan,333009,345379.0,366192.0,375521,395001.0,404456.0,428597,464614.0
215,Blora,279972,291114.0,308520.0,335837,353259.0,363649.0,390478,425135.0
216,Rembang,338986,354440.0,365443.0,384561,403932.0,414977.0,441482,477514.0
217,Pati,377442,393817.0,414316.0,423922,445913.0,458616.0,486855,532545.0
218,Kudus,356951,373224.0,393078.0,406470,429666.0,450992.0,482806,520830.0
219,Jepara,341754,355607.0,371296.0,386693,407056.0,419028.0,442618,479131.0
220,Demak,356919,371525.0,402211.0,411202,432533.0,445176.0,471818,511145.0
221,Semarang,307505,317935.0,341576.0,377674,404455.0,416395.0,459151,498952.0
222,Temanggung,268730,277707.0,287981.0,310176,323705.0,336034.0,354012,388369.0
223,Kendal,323078,335497.0,353127.0,369769,396691.0,407387.0,433864,465936.0
224,Batang,240541,249292.0,256549.0,286116,309202.0,318330.0,341252,378858.0
225,Pekalongan,341648,354435.0,361297.0,382832,403662.0,416779.0,441765,480934.0
226,Pemalang,319434,331584.0,351183.0,372115,389209.0,401857.0,429549,467204.0
227,Tegal,308270,319758.0,332298.0,365334,390520.0,404655.0,434638,470728.0
228,Brebes,364059,382125.0,405932.0,414642,431897.0,445853.0,472326,513339.0
229,Kota Magelang,425191,450908.0,476582.0,481282,522099.0,537783.0,575130,602794.0
230,Kota Surakarta,430293,448062.0,464063.0,473516,487445.0,511216.0,538441,600953.0
231,Kota Salatiga,345146,359944.0,380856.0,418955,454154.0,480903.0,518815,565031.0
232,Kota Semarang,382160,402297.0,427511.0,474930,522691.0,543929.0,589598,642456.0
233,Kota Pekalongan,375600,390555.0,415172.0,425026,460789.0,480415.0,513243,565998.0
234,Kota Tegal,395631,418845.0,455488.0,465047,502031.0,523413.0,565826,623617.0
235,D I YOGYAKARTA,354084,374009.0,409744.0,432026,463479.0,482855.0,521673,573022.0
236,Kulon Progo,297353,312403.0,323105.0,333781,353807.0,360202.0,381666,416870.0
237,Bantul,332057,347476.0,369480.0,381538,405613.0,418265.0,445511,488340.0
238,Gunung Kidul,264637,277261.0,288748.0,301125,319851.0,325907.0,350739,382249.0
239,Sleman,334406,351331.0,370127.0,382868,411610.0,422933.0,450763,491652.0
240,Kota Yogyakarta,401193,423815.0,467061.0,495562,533423.0,556674.0,601905,662267.0
241,JAWA TIMUR,321761,342092.0,373574.0,397687,416001.0,429133.0,460909,507286.0
242,Pacitan,239339,250942.0,268592.0,283321,296271.0,309655.0,327758,352606.0
243,Ponorogo,266312,279168.0,297467.0,313175,326205.0,341090.0,362461,395069.0
244,Trenggalek,275426,288779.0,308644.0,323787,340915.0,358831.0,381448,411527.0
245,Tulungagung,304518,314532.0,328640.0,341651,362213.0,374183.0,391888,423875.0
246,Blitar,272358,285474.0,305440.0,318534,325675.0,335573.0,355511,387733.0
247,Kediri,272374,281012.0,294098.0,305491,324215.0,335990.0,353033,385874.0
248,Malang,282933,294904.0,314550.0,329512,338156.0,348695.0,367579,399647.0
249,Lumajang,258840,267366.0,281461.0,296633,318196.0,334906.0,352776,386995.0
250,Jember,299823,310650.0,324174.0,339685,365295.0,380397.0,400961,441171.0
251,Banyuwangi,311722,319236.0,339891.0,353873,373679.0,387084.0,414879,448928.0
